age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
68,State-gov,330217,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Other,Male,2484,30,33,United-States,>50K
31,Never-worked,213997,Masters,14,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,210,21,7,United-States,<=50K
88,Private,254042,Assoc-voc,11,Never-married,Machine-op-inspct,Husband,White,Male,68,49,52,United-States,>50K
77,Private,221560,HS-grad,9,Widowed,Sales,Not-in-family,Black,Male,1643,76,11,United-States,>50K
37,Private,235683,Some-college,10,Never-married,Farming-fishing,Husband,White,Male,2373,52,27,United-States,>50K
40,Private,225547,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Female,3177,68,14,United-States,>50K
19,Private,253603,Masters,14,Never-married,Other-service,Husband,Asian-Pac-Islander,Female,831,118,86,United-States,>50K
38,Private,191374,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,13,99,80,United-States,<=50K
69,Self-emp-not-inc,287768,Bachelors,13,Divorced,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,1306,56,46,United-States,>50K
18,Self-emp-not-inc,208343,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,31,12,76,India,<=50K
46,Private,296459,HS-grad,9,Divorced,Adm-clerical,Husband,White,Male,192,50,10,United-States,<=50K
54,Private,289566,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Own-child,White,Male,791,35,24,Puerto-Rico,<=50K
18,Private,180209,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,1149,63,61,United-States,>50K
80,Self-emp-not-inc,82663,Assoc-acdm,12,Never-married,Machine-op-inspct,Wife,White,Male,655,89,18,United-States,<=50K
76,Private,111216,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Unmarried,White,Male,1743,67,86,United-States,>50K
37,Private,451448,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,113,93,9,United-States,<=50K
49,Local-gov,260600,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,312,3,17,United-States,<=50K
74,Private,266492,Some-college,10,Widowed,Handlers-cleaners,Husband,White,Female,2376,1,58,United-States,>50K
38,Self-emp-not-inc,481358,HS-grad,9,Divorced,Farming-fishing,Not-in-family,Black,Male,306,14,13,United-States,<=50K
65,Private,304887,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,2042,115,50,United-States,>50K
75,Private,418852,Masters,14,Never-married,Other-service,Wife,White,Female,112,86,6,United-States,<=50K
58,Private,494100,10th,6,Never-married,Farming-fishing,Husband,White,Female,1046,57,85,Mexico,<=50K
76,Self-emp-not-inc,20108,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,390,60,51,United-States,<=50K
31,State-gov,214706,Some-college,10,Never-married,Craft-repair,Husband,White,Female,232,64,36,United-States,<=50K
78,State-gov,46180,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,1674,142,71,United-States,>50K
78,Private,291027,HS-grad,9,Never-married,Exec-managerial,Wife,White,Female,5271,89,25,United-States,>50K
63,Self-emp-not-inc,54400,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,112,48,11,India,<=50K
78,Private,187071,Masters,14,Never-married,Handlers-cleaners,Husband,Black,Male,1094,54,44,United-States,>50K
67,Private,57951,Bachelors,13,Divorced,Craft-repair,Husband,White,Female,2458,12,14,United-States,>50K
71,Without-pay,410376,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,1242,53,29,United-States,<=50K
80,Private,327406,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,3284,27,74,United-States,>50K
19,Private,423145,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,396,8,50,United-States,<=50K
67,Private,355277,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Male,6417,82,5,India,>50K
23,Private,152195,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,972,35,72,United-States,<=50K
37,Private,387250,Masters,14,Married-civ-spouse,Sales,Own-child,White,Male,835,189,69,Canada,<=50K
89,Private,169429,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Female,4152,16,88,India,>50K
55,Private,342640,Masters,14,Divorced,Prof-specialty,Husband,White,Female,1659,32,57,United-States,>50K
34,Without-pay,174628,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1453,29,26,United-States,<=50K
20,State-gov,487007,11th,7,Widowed,Craft-repair,Wife,White,Female,2596,6,6,United-States,>50K
76,Private,334078,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,1734,27,16,United-States,>50K
30,Private,351030,Some-college,10,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,354,16,60,United-States,<=50K
25,Private,40881,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,2242,8,12,Puerto-Rico,<=50K
69,Private,290553,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Female,286,16,75,United-States,<=50K
18,Private,458632,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Unmarried,White,Female,3278,13,3,United-States,>50K
76,Private,108171,10th,6,Never-married,Sales,Wife,White,Female,9158,66,63,United-States,>50K
87,Private,471198,Some-college,10,Widowed,Prof-specialty,Own-child,White,Female,947,1,64,United-States,<=50K
60,Private,263189,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,1176,48,62,India,<=50K
24,Private,433873,Masters,14,Never-married,Other-service,Husband,White,Male,95,71,6,United-States,<=50K
63,Private,227815,Prof-school,15,Never-married,Farming-fishing,Husband,White,Female,27,32,19,United-States,<=50K
51,Never-worked,321095,Bachelors,13,Never-married,Tech-support,Wife,White,Female,5087,134,18,United-States,>50K
52,Local-gov,280896,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,275,61,80,Mexico,<=50K
66,Private,127339,Some-college,10,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,1180,68,87,United-States,<=50K
20,State-gov,416656,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Female,3378,10,43,Canada,>50K
18,Private,54864,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,4402,75,73,United-States,>50K
22,Without-pay,190763,Bachelors,13,Never-married,Other-service,Unmarried,Black,Male,1465,89,3,United-States,<=50K
70,Local-gov,82035,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,1664,22,72,United-States,>50K
20,Private,96675,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,2215,11,38,United-States,>50K
70,Private,483519,HS-grad,9,Separated,Machine-op-inspct,Wife,White,Male,6508,24,68,United-States,>50K
79,Private,294487,Bachelors,13,Never-married,Prof-specialty,Husband,White,Female,1845,67,76,United-States,>50K
34,Private,234320,Some-college,10,Married-spouse-absent,Other-service,Wife,White,Male,1639,27,44,United-States,>50K
60,Private,29673,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,29,66,95,United-States,<=50K
50,Private,201026,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Female,168,6,89,United-States,<=50K
78,Private,195770,Bachelors,13,Divorced,Sales,Husband,White,Female,1721,81,80,United-States,>50K
30,State-gov,367168,Bachelors,13,Never-married,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,5505,14,63,United-States,>50K
64,Never-worked,36520,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,4030,14,42,United-States,>50K
31,Private,255195,Bachelors,13,Divorced,Farming-fishing,Unmarried,White,Female,8100,44,64,United-States,>50K
88,Private,287928,Bachelors,13,Never-married,Other-service,Husband,White,Female,1500,3,54,United-States,>50K
78,Private,389590,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,3101,1,78,United-States,>50K
